title,description,url
 Mr. Neighborly's Humble Little Ruby Book (Jeremy McAnally),It promotes object-oriented design using Ruby and illustrates the use of the latest object-oriented design patterns. Virtually all the data structures are discussed in the context of a single class hierarchy.,https://freecomputerbooks.com/Little-Ruby-Book.html
 Data Structures and Algorithms with OPP Design Patterns in Ruby,"Written for programmers with a background in Ruby, this book explore the new Swift language in depth. The code examples feature syntax shading, code highlighting, rich commenting, line-by-line code walkthroughs and live program outputs.",https://freecomputerbooks.com/Data-Structures-and-Algorithms-with-Object-Oriented-Design-Patterns-in-Ruby.html
 Swift for Ruby Developers: An Tutorial Introduction,"This book is an introduction to MacRuby. MacRuby is Apple's implementation of the Ruby programming Language. More precisely, it is a Ruby implementation that uses the well known and proven Objective-C runtime.",https://freecomputerbooks.com/Swift-for-Ruby-Developers.html
 O'Reilly® MacRuby: The Definitive Guide: Ruby and Cocoa on OS X,"The book provides you with a concise yet thorough introduction to the framework, an overview of commands and configurations, and a comprehensive reference to every method - all in one handy, easy-to-use reference.",https://freecomputerbooks.com/MacRuby-The-Definitive-Guide.html
 O'Reilly® Rails 3 in a Nutshell: A Desktop Quick Reference,"While other books focus on Ruby's trendier features, this book reveals the secret inner workings of one of the world's most popular programming languages, teaching you to write clear, maintainable code.",https://freecomputerbooks.com/Rails-in-a-Nutshell.html
 The Book of Ruby: A Hands-On Guide for the Adventurous,"This concise book explains how to design beautiful APIs and domain-specific languages with Ruby, as well as how to work with functional programming ideas and techniques that can simplify your code and make you more productive.",https://freecomputerbooks.com/the-book-of-ruby.html
 O'Reilly® Ruby Best Practices (Gregory T Brown),"This is the one and only source of information about Rails security topics, and I keep the community up-to-date with blog posts and conference talks in Europe. The Guide and the Project has been mentioned in several Rails books and web-sites.",https://freecomputerbooks.com/Ruby-Best-Practices.html
 Ruby on Rails Security Guide (OWASP Foundation),"This is not a technical book or a design tutorial, it's a book of ideas. Anyone working on a web app - including entrepreneurs, designers, programmers, executives, or marketers - will find value and inspiration. It uses Ruby on Rails.",https://freecomputerbooks.com/Ruby-on-Rails-Security-Guide.html
" Getting Real: The Smarter, Faster, Easier Way to Build a Web","Take your C programming skills to new heights, whether you're just starting out with C or have more extensive experience. Organized by level, this comprehensive guide lets you jump in where it suits you best while still reaping the maximum benefits.",https://freecomputerbooks.com/Getting-Real.html
 Modern C (Jens Gustedt),Learn network programming and data structures by building a Redis-like server from scratch with C/C++. The knowledge required is broader and deeper than usual application-level development.,https://freecomputerbooks.com/Modern-C-by-Jens-Gustedt.html
 Build Your Own Redis with C/C++ (James Smith),"This book introduces you to the most commonly used programming language, for computer users who would want to have an idea what is happening behind the scenes as they work with various computer programs.",https://freecomputerbooks.com/Build-Your-Own-Redis-with-C-and-Cpp.html
 Beej's Guide to C Programming (Brian Hall),"This book provides a thorough introduction to the UNIX system call libraries. It is aimed at programmers who already know C, but who want to take full advantage of the UNIX programming environment.",https://freecomputerbooks.com/Beej-Guide-to-C-Programming.html
 O'Reilly® Using C on the UNIX System (David A. Curry),"This book is an introduction to C, and covers the basics of writing simple command-line programs. It also shows how to use the GTK user interface toolkit with C to create feature-rich GUI applications which can be run on the desktop.",https://freecomputerbooks.com/UNIX-Systems-Programming-for-SVR4.html
 Introduction to C and GUI Programming (Simon Long),"We will study small code snippets in C and C++, and use them to discuss the fundamental building blocks, limitations and underlying design philosophies of these wonderful but dangerous programming languages.",https://freecomputerbooks.com/Introduction-to-C-and-GUI-Programming.html
 Deep C (and C++) by Olve Maudal and Jon Jagger,"The book explains fundamental concepts, provides an introduction to Persistent Memory programming APIs for C, C++, JavaScript, and other languages, discusses RMDA with persistent memory; reviews security features; and presents many examples.",https://freecomputerbooks.com/Deep-C-and-Cpp.html
 Programming Persistent Memory: A Comprehensive Guide,"There are two purposes to this book: to teach you to program in the C programming language, and to teach you how to choose, implement, and use data structures and standard programming techniques.",https://freecomputerbooks.com/Programming-Persistent-Memory.html
 Notes on Data Structures and Programming Techniques in C,"This book presents an introduction to the C programming language, featuring a structured approach and aimed at professionals and students with some experience of high-level languages, includes highlights of common traps and pitfalls in C programming.",https://freecomputerbooks.com/Notes-on-data-structures-and-programming-techniques.html
" The C Book: Featuring the ANSI C Standard, 2nd Edition","This book is an introduction to programming in C for absolute beginners; you don’t need any previous programming experience, and a Raspberry Pi running Raspbian is all you need to get started.",https://freecomputerbooks.com/The_C_Book_Featuring_the_ANSI_C_Standard.html
 Learn to Code with C (Simon Long),"This book is designed to be used as the primary textbook in a college-level first course in computing. It takes a fairly traditional approach, emphasizing problem solving, design, and programming as the core skills of computer science.",https://freecomputerbooks.com/Learn-to-Code-with-C.html
" The Art and Craft of Programming, C Edition (John C. Lusth)","This book is not going to praise object-oriented programming or condemn the Old Way. It's simply going to use ANSI-C to discover how object-oriented programming is done, what its techniques are, why they help us solve bigger problems,",https://freecomputerbooks.com/The-Art-and-Craft-of-Programming-Python-Edition.html
 Object-Oriented Programming with ANSI-C (A. Schreiner),"The C language is demonstrated with numerous examples and extensive exercises that guide readers through each concept. Step-by-step ""dissections"" of program code reveal the underlying logic of the programs and include in-depth implementation details.",https://freecomputerbooks.com/object-oriented-programming-with-ansi-c.html
" A Book on C: Programming in C (Al Kelley, et al.)","This book will teach you to use C's advanced low-level power to write effective, efficient systems. This intensive, practical guide will help you become an expert C programmer. The book is essential for anybody who wants to take their C to the next level.",https://freecomputerbooks.com/A-Book-on-C-Programming-in-C.html
 Extreme C (Kamran Amini),This book is a collection of ideas and techniques written for both the newcomer to the C programming language and the experienced C programmer who wishes to get the most from an implementation of the language on a personal computer.,https://freecomputerbooks.com/Extreme-C-by-Kamran-Amini.html
 Practical C (Mark Hharrison),"The book teaches how to program using the C programming language. It has ""project"" exercises: complete Pebble smartwatch applications that give you code to start, ask you to make changes, and give you a solution so you can compare with answers.",https://freecomputerbooks.com/Practical-C-Programming-by-Mark-Hharrison.html
